CODDISTRIC;DISTRITO;ESPECIE CANINA;ESPECIE FELINA
2;ARGANZUELA;9789;1939
21;BARAJAS;5217;663
11;CARABANCHEL;18031;2397
1;CENTRO;13505;3540
5;CHAMARTÍN;13159;1860
7;CHAMBERÍ;14176;1939
15;CIUDAD LINEAL;17882;4192
8;FUENCARRAL-EL PARDO;18305;2819
16;HORTALEZA;16888;4927
10;LATINA;18529;2595
9;MONCLOA-ARAVACA;12692;1578
14;MORATALAZ;6881;1173
13;PUENTE DE VALLECAS;22765;2117
3;RETIRO;8883;1391
4;SALAMANCA;13159;1860
20;SAN BLAS;13067;2188
6;TETUÁN;12502;2204
12;USERA;11641;992
19;VICÁLVARO;4702;545
18;VILLA DE VALLECAS;7416;975
17;VILLAVERDE;11092;897
